Vehicle Number,Purchase Price,Maintenance Costs,Doors,Persons,Luggae Boot,Safety,Rating
1,4,4,2,2,1,1,1
2,4,4,2,2,1,2,1
3,4,4,2,2,1,3,1
4,4,4,2,2,2,1,1
5,4,4,2,2,2,2,1
6,4,4,2,2,2,3,1
7,4,4,2,2,3,1,1
8,4,4,2,2,3,2,1
9,4,4,2,2,3,3,1
10,4,4,2,4,1,1,1
11,4,4,2,4,1,2,1
12,4,4,2,4,1,3,1
13,4,4,2,4,2,1,1
14,4,4,2,4,2,2,1
15,4,4,2,4,2,3,1
16,4,4,2,4,3,1,1
17,4,4,2,4,3,2,1
18,4,4,2,4,3,3,1
19,4,4,2,5,1,1,1
20,4,4,2,5,1,2,1
21,4,4,2,5,1,3,1
22,4,4,2,5,2,1,1
23,4,4,2,5,2,2,1
24,4,4,2,5,2,3,1
25,4,4,2,5,3,1,1
26,4,4,2,5,3,2,1
27,4,4,2,5,3,3,1
28,4,4,3,2,1,1,1
29,4,4,3,2,1,2,1
30,4,4,3,2,1,3,1
31,4,4,3,2,2,1,1
32,4,4,3,2,2,2,1
33,4,4,3,2,2,3,1
34,4,4,3,2,3,1,1
35,4,4,3,2,3,2,1
36,4,4,3,2,3,3,1
37,4,4,3,4,1,1,1
38,4,4,3,4,1,2,1
39,4,4,3,4,1,3,1
40,4,4,3,4,2,1,1
41,4,4,3,4,2,2,1
42,4,4,3,4,2,3,1
43,4,4,3,4,3,1,1
44,4,4,3,4,3,2,1
45,4,4,3,4,3,3,1
46,4,4,3,5,1,1,1
47,4,4,3,5,1,2,1
48,4,4,3,5,1,3,1
49,4,4,3,5,2,1,1
50,4,4,3,5,2,2,1
51,4,4,3,5,2,3,1
52,4,4,3,5,3,1,1
53,4,4,3,5,3,2,1
54,4,4,3,5,3,3,1
55,4,4,4,2,1,1,1
56,4,4,4,2,1,2,1
57,4,4,4,2,1,3,1
58,4,4,4,2,2,1,1
59,4,4,4,2,2,2,1
60,4,4,4,2,2,3,1
61,4,4,4,2,3,1,1
62,4,4,4,2,3,2,1
63,4,4,4,2,3,3,1
64,4,4,4,4,1,1,1
65,4,4,4,4,1,2,1
66,4,4,4,4,1,3,1
67,4,4,4,4,2,1,1
68,4,4,4,4,2,2,1
69,4,4,4,4,2,3,1
70,4,4,4,4,3,1,1
71,4,4,4,4,3,2,1
72,4,4,4,4,3,3,1
73,4,4,4,5,1,1,1
74,4,4,4,5,1,2,1
75,4,4,4,5,1,3,1
76,4,4,4,5,2,1,1
77,4,4,4,5,2,2,1
78,4,4,4,5,2,3,1
79,4,4,4,5,3,1,1
80,4,4,4,5,3,2,1
81,4,4,4,5,3,3,1
82,4,4,5,2,1,1,1
83,4,4,5,2,1,2,1
84,4,4,5,2,1,3,1
85,4,4,5,2,2,1,1
86,4,4,5,2,2,2,1
87,4,4,5,2,2,3,1
88,4,4,5,2,3,1,1
89,4,4,5,2,3,2,1
90,4,4,5,2,3,3,1
91,4,4,5,4,1,1,1
92,4,4,5,4,1,2,1
93,4,4,5,4,1,3,1
94,4,4,5,4,2,1,1
95,4,4,5,4,2,2,1
96,4,4,5,4,2,3,1
97,4,4,5,4,3,1,1
98,4,4,5,4,3,2,1
99,4,4,5,4,3,3,1
100,4,4,5,5,1,1,1
101,4,4,5,5,1,2,1
102,4,4,5,5,1,3,1
103,4,4,5,5,2,1,1
104,4,4,5,5,2,2,1
105,4,4,5,5,2,3,1
106,4,4,5,5,3,1,1
107,4,4,5,5,3,2,1
108,4,4,5,5,3,3,1
109,4,3,2,2,1,1,1
110,4,3,2,2,1,2,1
111,4,3,2,2,1,3,1
